// **************************************************************
// this section is to force including all the printable ASCII characters into the fontmap
// ### ASCII printable characters (32-127) ###
// !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
// ### ASCII extended characters (128-255) ###
// ¡¢£¤¥¦§¨©ª«¬	®¯°±²³´µ¶·¸¹º»¼½¾¿ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖ×ØÙÚÛÜÝÞßàáâãäåæçèéêëìíîïðñòóôõö÷øùúûüýþÿ
// **************************************************************

//
//  **************************************************************
//  ***   Strings from Game/en/language.dll                    ***
//  **************************************************************
//

98 "1"
99 "0"
100 "1"
101 "1"

// String 213 is the font size for campaign intro/outro slides

213 "60"

1001 "Age of Empires II"
1002 "X"
1003 "Age of Empires II - Hilfe"
1004 "Age of Empires® II: The Age of Kings\n"
1005 "Beta-Version (%s)"

//
//  **************************************************************
//  ***   Strings from Game/en/language_x1.dll                 ***
//  **************************************************************
//

1006 "Microsoft® Phoenix\n© && ℗ %s Microsoft Corporation. Alle Rechte vorbehalten.\nDas Programm ist durch US-amerikanisches u. internationales Urheberrecht \ngeschützt, wie unter „Info“ beschrieben."
1007 "EULA.RTF"
1008 "WARRANTY.RTF"
1009 "EULAX.RTF"
1010 "WARRANTYX.RTF"
1011 "http://www.microsoft.com/games/conquerors"
1012 "http://www.ensemblestudios.com"
1101 "Spieldaten werden geladen …"
1102 "Neues Szenario wird eingerichtet …"
1103 "Szenario wird geladen …"
1104 "Szenario wird gespeichert …"
1105 "Neues Spiel wird gestartet …"
1106 "Gespeichertes Spiel wird geladen …"
1107 "Spiel wird gespeichert …"
1108 "Warten auf die anderen Spieler …"
1109 "Spiel wird gestartet"
1150 "Gewonnen!"
1151 "Verloren!"
1152 "wurde besiegt"
1200 "Bereit"
1201 "Computer"
1202 "Leer"
1203 "Es wird geladen"
1204 "Bitte warten"
1205 "Unbekannt"
1210 "Spieler „%s“ (%d) antwortet nicht …"
1211 "Es wird neu synchronisiert … Bitte warten."
1212 "Absichtliches Hinauswerfen von Ser#%d Cmd=%d „%c“. "
1213 "Spieler %d - „%s“ ausgeschieden/Verbindung abgebrochen"
1214 "Spieler „%s“ (%d) antwortet nicht …"
1215 "Ein Spiel im Mehrspieler-Modus wird eingerichtet …"
1217 "Problem bei der Kommunikation mit %s …"
1222 "Trete Mehrspielerpartie bei …"
1223 "Drücken Sie ESC, wenn Sie dem Spiel nicht innerhalb von 15 Sekunden beigetreten sind."
1224 "Trenne Verbindung zur Mehrspielerpartie …"
1225 "Drücken Sie ESC, wenn der Verbindungsabbruch\nnicht innerhalb von 15 Sekunden erfolgt."
2001 "Fehler"
2002 "Programm konnte nicht initialisiert werden. Deinstallieren Sie Age of Empires II und starten Sie das Setup erneut."
2003 "Das Grafiksystem konnte nicht initialisiert werden. Stellen Sie sicher, dass Ihre Grafikkarte die Mindestanforderungen erfüllt."
2004 "Das Soundsystem konnte nicht initialisiert werden."
2005 "Das Kommunikationssystem konnte nicht initialisiert werden. Stellen Sie sicher, dass Sie DirectX 5.0a oder eine höhere Version besitzen und dass diese richtig installiert ist."
2006 "Spiel konnte nicht gestartet werden."
2007 "Spieldaten konnten nicht geladen werden."
2008 "Um ein Spiel im Einzelspieler-Modus zu spielen, müssen Sie die CD Age of Empires II: Conquerors Expansion einlegen und dann neu starten."
2009 "Sie müssen eine CD-ROM eingelegt haben, um spielen zu können."
2010 "Sie müssen eine Spiel-CD einlegen, um den Karten-Editor zu verwenden."
2011 "Age of Empires II erfordert eine Farbauflösung von mindestens 256 Farben. Um die Farbauflösung zu ändern, öffnen Sie das Dialogfeld „Anzeige“ in der Windows Systemsteuerung."
2012 "Spiel wurde abgebrochen, da nicht mehr synchron!"
2013 "Age of Empires II erfordert DirectX 6.1a oder eine höhere Version."
2014 "Age of Empires II erfordert Microsoft Windows NT 4.0 mit Service Pack 3 und dem DirectPlay 5.0a-Update."
2015 "ACHTUNG: Nicht genügend freier Speicher oder Festplattenplatz für die Auslagerungsdatei. Schließen Sie andere Anwendungen und/oder machen Sie mehr Festplattenplatz verfügbar.\n\n Auch sollten Sie die Einstellungen für „Virtuellen Arbeitsspeicher“ in der Systemsteuerung überprüfen."
2016 "Diese Betaversion von „The Conquerors Expansion“ ist nicht mehr gültig."
2017 "Age of Empires II benötigt ein System mit wenigstens 32MB physikalischem Arbeitsspeicher, um lauffähig zu sein."
2018 "Programm konnte nicht initialisiert werden. Age of Empires II wurde nicht gefunden."
2019 "„The Conquerors Expansion“ hat beschädigte Dateien gefunden. Erneute Installation erforderlich."
2300 "Nachrichten des Computerspielers"
2301 "Du verräterischer Teufel! Meine Rache ist dir sicher!"
2302 "Es war klug, meiner Aufforderung zu folgen."
2303 "Du hast eine weise Entscheidung getroffen -- Gemeinsam können wir die Welt regieren."
2304 "Schade! Wir hätten ein unschlagbares Team werden können."
2305 "Du wagst es, mich herauszufordern! Dein letztes Stündlein hat geschlagen."
2306 "Zahle %d mehr Gold an mich, oder das ist dein Ende!"
2307 "Zahle %d Gold an mich, oder das ist dein Ende!"
2308 "Wenn du %d Gold an mich zahlst, werde ich mich mit dir verbünden."
2309 "Wenn du %d mehr Gold an mich zahlst, werde ich mich mit dir verbünden."
2310 "Deine lächerlichen Angebote werden mich nicht davon abbringen, dein Reich zu zerschmettern!"
2311 "Dein Reich ist es wert, mit mir verbündet zu sein."
2312 "%s greift mich an--ich brauche Hilfe!"
2313 "Ich bereite den Angriff auf %s vor; bitte schließ dich mir an."
2400 "********** TRIBE FEHLER **********"
2401 "Beim Versuch, das Spiel zu starten, trat ein Fehler auf."
2402 "Das Spiel konnte nicht gespeichert werden."
2403 "Das Szenario konnte nicht geladen werden."
2404 "Das Spiel konnte nicht geladen werden."
2405 "Das Szenario konnte nicht geladen werden."
2406 "Sie sind wegen eines Synchronisationsfehlers aus dem Spiel ausgeschieden. Ihre Netzwerk-Verbindung besteht möglicherweise nicht mehr."
2407 "Ihr Hostrechner ist wegen eines Synchronisationsfehlers aus dem Spiel ausgeschieden. Sie können ein Spiel nach dem alten Stand einleiten."
2408 "Ihr Gastrechner ist wegen eines Synchronisationsfehlers aus dem Spiel ausgeschieden. Sie können an einem Spiel teilnehmen, jedoch keines einleiten."
2410 "Mitspielen nicht möglich."
2411 "Fehlende Synchronität festgestellt…"
2412 "Spiel wurde abgebrochen, da der freie Platz auf dem Datenträger Ihres Computers nicht ausreicht."
2413 "Spiel angehalten, da Spieler „%s“ nicht mehr synchron ist (ein Fehler ist aufgetreten). Das Spiel wird gesichert, beendet und wieder hergestellt."
2414 "Ungültiges Passwort"
2415 "Spielbeitritt fehlgeschlagen. Lobby ist voll."
2416 "Sie sind hinter der Serverzeit. Es wird wahrscheinlich zu Verzögerungen kommen, bevor Sie Ihre Befehle in Aktion sehen. Falls dies anhält, setzen Sie Ihre Einstellungen herunter."
2500 "Dies steht in der Demoversion nicht zur Verfügung."
2501 "In der Demoversion können Sie nicht zur Imperialzeit voranschreiten."
2502 "Zufallskarten-Spiele stehen in der Demoversion nicht zur Verfügung."
2503 "„Deathmatch“-Spiele stehen in der Demoversion nicht zur Verfügung."
2504 "Die Imperialzeit steht in der Demoversion nicht zur Verfügung."
2505 "Computer stehen in der Demoversion nicht als Mehrspieler zur Verfügung."
2506 "Dieses Szenario kann in der Demoversion nicht gespielt werden."
2507 "Die Bildschirmgröße kann in der Demoversion nicht verändert werden."
2510 "Mehrspieler-Getöse (8-Player)"
2511 "Karten vom Typ „Völkerwanderung“, „Kratersee“, „Nildelta“ und „Dschungelinseln“ lassen sich nicht auswählen, wenn Computer als Spieler teilnehmen."
2512 "Der Host verwendet nicht dieselbe Spielversion. Alle Spieler müssen dieselbe Version verwenden, um Partien im Mehrspieler-Modus beitreten zu können."
3001 "Nicht genug Nahrung."
3002 "Nicht genug Holz."
3003 "Nicht genug Steine."
3004 "Nicht genug Gold."
3005 "Sie müssen mehr Häuser bauen."
3006 "Es gibt keine Häfen zum Handeln."
3007 "Nicht nah genug am Ufer, um auszuladen."
3008 "Nicht genug Platz, um alle Einheiten auszuladen."
3009 "%s: %d Goldeinheiten Tribut an Sie gezahlt."
3010 "Nicht genug Platz, um die Einheit zu platzieren."
3011 "Mit einem Feind können Sie keinen Handel treiben."
3012 "Die Verbindung mit %s besteht nicht mehr."
3013 "%s hat aufgegeben."
3014 "%s besiegt."
3015 "%s hat %d Holzeinheiten Tribut an Sie gezahlt."
3016 "%s hat %d Nahrungseinheiten Tribut an Sie gezahlt."
3017 "%s hat %d Steine als Tribut an Sie gezahlt."
3018 "Reparatur nicht möglich … zu wenig Rohstoffe."
3019 "%s hat angefangen, ein Weltwunder zu bauen!"
3020 "Sie haben ein Weltwunder fertig gestellt. Sie werden gewinnen, wenn es %d Jahre übersteht!"
3021 "%s hat ein Weltwunder fertig gestellt. Sie werden gewinnen, wenn es %d Jahre übersteht!"
3022 "%s hat ein Weltwunder fertig gestellt. Sie werden verlieren, wenn es %d Jahre übersteht!"
3023 "Ihr Weltwunder wurde zerstört!"
3024 "Das Weltwunder von %s wurde zerstört!"
3025 "%s wechselte die diplomatische Haltung Ihnen gegenüber zu „Neutral“."
3026 "%s wechselte die diplomatische Haltung Ihnen gegenüber zu „Verbündet“."
3027 "%s wechselte die diplomatische Haltung Ihnen gegenüber zu „Feindlich“."
3028 "Alle Reliquien wurden eingenommen. Halten Sie sie %d Jahre lang, um zu gewinnen!"
3029 "Alle Reliquien wurden eingenommen. Wenn diese %d Jahre gehalten werden, verlieren Sie!"
3030 "Sie haben die Kontrolle über die Reliquien verloren!"
3032 "Die Warteschleife zur Erneuerung von Reusen ist voll."
3033 "Das Monument ist eingenommen. Um zu gewinnen, halten Sie es %d Jahre lang!"
3034 "Das Monument ist eingenommen. Sie verlieren es, wenn es %d Jahre lang gehalten wird!"
3035 "Sie haben die Kontrolle über das Monument verloren!"
3036 "%s ist zur Feudalzeit vorangeschritten."
3037 "%s ist zur Ritterzeit vorangeschritten."
3038 "%s ist zur Imperialzeit vorangeschritten."
3039 "Die Einsaat-Warteschleife des Feldes ist voll."
3040 "Klicken Sie auf eine Stelle, um dorthin zu gelangen."
3041 "Klicken Sie auf ein Objekt, um es zu bearbeiten."
3042 "Klicken Sie auf das Objekt, das Sie angreifen möchten."
3043 "Klicken Sie auf die Einheit, die Sie heilen möchten."
3044 "Klicken Sie auf die Einheit, die Sie bekehren möchten."
3045 "Klicken Sie auf eine Stelle, um dort anzugreifen."
3046 "Sie haben Ihr Bevölkerungslimit erreicht."
3047 "Nicht genug Glauben, um eine Bekehrung durchzuführen."
3048 "Diese Einheit lässt sich nicht bekehren."
3049 "Erst nach Entwicklung lassen sich Gebäude bekehren."
3050 "Dieses Gebäude lässt sich nicht bekehren."
3051 "Sie können keine Einheiten in derart beschädigten Gebäuden einquartieren."
3052 "Klicken Sie auf das Boot oder Gebäude, das Sie reparieren möchten."
3053 "Klicken Sie auf die Stelle, wo das Transportschiff entladen werden soll."
3054 "Sie haben ein Weltwunder fertig gestellt."
3055 "%s hat ein Weltwunder fertig gestellt."
3056 "Alle Reliquien wurden eingenommen."
3058 "Sie haben angefangen, ein Weltwunder zu bauen!"
3059 "Die Spielgeschwindigkeit wurde durch %s geändert."
3060 "Spiel unterbrochen/fortgesetzt durch %s."
3061 "Das Gebäude ist zu stark beschädigt, um darin Technologien zu entwickeln oder Einheiten zu erschaffen."
